MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
	GAS Liander	Kromme Waal	1011	1011	GAS	KVB	27	100	100	100	G4	1170	0	74,07		CENTRUM
	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	22	100	100	82	1x25	1441	95,45	95,45	1	CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	20	100	100	100	G4	936	0	95		CENTRUM
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	28	100	92,86	43	1x25	3731	78,57	78,57	1	CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	25	100	100	80	G4	1232	0	84		CENTRUM
Liander N.V.	GAS Liander	Oude Waal	1011	1011	GAS	KVB	24	100	79,17	79	G4	1125	0	75		CENTRUM
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	37	100	56,76	73	3x25	1681	54,05	54,05	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	25	100	80	36	1x35	2213	76	76	1	CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	18	100	94,44	100	G4	1421	0	94,44		CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	19	100	89,47	89	G4	1371	0	52,63		CENTRUM
	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	21	100	90,48	43	1x25	2507	61,9	57,14	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot  94 to	1011	1011	ELK	KVB	18	100	94,44	67	1x25	2613	88,89	88,89	1	CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	15	100	100	100	G4	1381	0	93,33		CENTRUM
Liander N.V.	Liander N.V. (NW)	Oude Waal	1011	1011	ELK	KVB	12	83,33	75	50	3x25	2101	58,33	58,33	1,5	CENTRUM
	GAS Liander	Oude Waal	1011	1011	GAS	KVB	34	100	97,06	88	G4	2353	0	23,53		CENTRUM
Liander N.V.	Liander N.V. (NW)	Oude Waal AB	1011	1011	ELK	KVB	28	100	92,86	46	3x25	10750	17,86	3,57	1,2	CENTRUM
	GAS Liander	Binnen Bantammerstraat	1011	1011	GAS	KVB	15	100	100	100	G4	1276	0	0		CENTRUM
	Liander N.V. (NW)	Binnen Bantammerstraat	1011	1011	ELK	KVB	16	100	100	81	1x25	7462	12,5	0	1,1	CENTRUM
	Liander N.V. (NW)	Binnen Bantammerstraat	1011	1011	ELK	KVB	14	100	100	86	1x25	2308	0	0	1	CENTRUM
	GAS Liander	Binnen Bantammerstraat	1011	1011	GAS	KVB	12	100	100	100	G4	1305	0	0		CENTRUM
	Liander N.V. (NW)	Binnen Bantammerstraat	1011	1011	ELK	KVB	10	100	100	80	1x25	1774	0	0	1	CENTRUM
Liander N.V.	GAS Liander	Binnen Bantammerstraat	1011	1011	GAS	KVB	59	100	93,22	93	G4	1088	0	37,29		CENTRUM
Liander N.V.	Liander N.V. (NW)	Nieuwe Jonkerstraat	1011	1011	ELK	KVB	63	100	82,54	33	1x25	2334	36,51	41,27	1	CENTRUM
	GAS Liander	Nieuwe Ridderstraat	1011	1011	GAS	KVB	10	100	30	90	G4	2657	0	0		CENTRUM
	Liander N.V. (NW)	Nieuwe Ridderstraat	1011	1011	ELK	KVB	13	100	46,15	54	3x25	5292	61,54	0	1,3	CENTRUM
	GAS Liander	Nieuwe Ridderstraat	1011	1011	GAS	KVB	16	100	100	88	G4	2206	0	0		CENTRUM
Liander N.V.	Liander N.V. (NW)	Nieuwe Ridderstraat	1011	1011	ELK	KVB	21	100	95,24	67	1x25	2329	9,52	4,76	1,1	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	22	100	100	86	G4	1458	0	0		CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	26	100	96,15	69	1x25	1744	0	0	1	CENTRUM
Liander N.V.	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	17	100	94,12	100	G4	1185	0	0		CENTRUM
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	18	100	88,89	44	1x25	3038	0	0	1	CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	18	100	100	83	1x25	1925	0	0	1,1	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	17	100	100	100	G4	1340	0	0		CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	13	100	100	100	G4	1149	0	0		CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	15	100	93,33	53	1x25	2514	0	0	1	CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	19	100	100	68	1x25	2194	0	0	1	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	19	100	100	95	G4	943	0	0		CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	19	100	100	95	G4	1249	0	21,05		CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	22	81,82	86,36	59	1x25	2052	18,18	22,73	1,1	CENTRUM
	GAS Liander	Lastageweg	1011	1011	GAS	KVB	109	100	97,25	98	G4	898	0	88,99		CENTRUM
	Liander N.V. (NW)	Lastageweg	1011	1011	ELK	KVB	10	100	100	90	1x25	4278	10	0	1,1	CENTRUM
	Liander N.V. (NW)	J.W. Siebbeleshof	1011	1011	ELK	KVB	126	100	97,62	91	1x35	3751	96,83	97,62		CENTRUM
	Liander N.V. (NW)	W Frederik Hermansstr	1011	1011	ELK	KVB	87	100	98,85	94	1x35	2719	100	98,85		CENTRUM
	Liander N.V. (NW)	Oosterdoksstraat	1011	1011	ELK	KVB	68	100	95,59	79	1x35	6173	48,53	50	1	CENTRUM
	GAS Liander	Oosterdokskade	1011	1011	GAS	KVB	46	100	95,65	85	G4	1964	0	21,74		CENTRUM
Liander N.V.	Liander N.V. (NW)	Dijkdwarsstraat	1011	1011	ELK	KVB	52	100	80,77	69	1x25	2995	21,15	13,46	1,1	CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	24	100	100	88	1x25	1695	33,33	37,5	1	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	21	100	100	100	G4	903	0	38,1		CENTRUM
Liander N.V.	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	18	100	88,89	67	G4	2473	0	5,56		CENTRUM
Liander N.V.	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	19	100	89,47	47	1x25	7219	21,05	5,26	1,2	CENTRUM
	GAS Liander	Recht Boomssloot	1011	1011	GAS	KVB	12	100	100	92	G4	1106	0	0		CENTRUM
	Liander N.V. (NW)	Recht Boomssloot	1011	1011	ELK	KVB	14	100	100	86	1x25	1938	0	0	1	CENTRUM
	Liander N.V. (NW)	Montelbaanstraat	1011	1011	ELK	KVB	16	100	100	100	1x25	1753	0	0	1	CENTRUM
	GAS Liander	Montelbaanstraat	1011	1011	GAS	KVB	16	100	100	100	G4	937	0	0		CENTRUM
	GAS Liander	Montelbaanstraat	1011	1011	GAS	KVB	21	100	100	95	G4	3053	0	0		CENTRUM
	Liander N.V. (NW)	Montelbaanstraat	1011	1011	ELK	KVB	22	100	95,45	82	1x25	1805	0	0	1	CENTRUM
	GAS Liander	Geldersekade	1011	1011	GAS	KVB	32	100	100	91	G4	1498	0	12,5		CENTRUM
	Liander N.V. (NW)	Geldersekade	1011	1011	ELK	KVB	37	100	97,3	76	1x25	3338	18,92	13,51	1,1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011	1011	ELK	KVB	46	100	91,3	41	1x25	5954	8,7	2,17	1,1	CENTRUM
	GAS Liander	Geldersekade	1011	1011	GAS	KVB	34	100	100	94	G4	1570	0	2,94		CENTRUM
Liander N.V.	Liander N.V. (NW)	geldersekd	1011	1011	ELK	KVB	27	100	96,3	56	1x25	6415	7,41	3,7	1,1	CENTRUM
	GAS Liander	Geldersekade	1011	1011	GAS	KVB	23	100	91,3	87	G4	2701	0	4,35		CENTRUM
Liander N.V.	GAS Liander	Geldersekade	1011	1011	GAS	KVB	37	100	89,19	89	G4	1309	0	2,7		CENTRUM
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011	1011	ELK	KVB	47	100	87,23	55	1x25	4771	12,77	2,13	1,1	CENTRUM
	GAS Liander	Geldersekade	1011	1011	GAS	KVB	15	100	93,33	80	G4	2654	0	0		CENTRUM
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011	1011	ELK	KVB	23	100	86,96	48	1x25	5396	8,7	4,35	1,1	CENTRUM
	GAS Liander	Geldersekade	1011	1011	GAS	KVB	25	100	100	92	G4	2912	0	4		CENTRUM
Liander N.V.	Liander N.V. (NW)	Geldersekade	1011	1011	ELK	KVB	30	100	96,67	70	1x25	8376	13,33	3,33	1,1	CENTRUM
	Liander N.V. (NW)	Waalsteeg	1011	1011	ELK	KVB	10	100	100	40	1x25	3139	50	50	1	CENTRUM
	GAS Liander	Waalsteeg	1011	1011	GAS	KVB	10	100	100	100	G4	1595	0	50		CENTRUM
	Liander N.V. (NW)	Koningsstraat	1011	1011	ELK	KVB	42	100	100	60	1x25	4844	16,67	7,14	1,1	CENTRUM
	GAS Liander	Koningsstraat	1011	1011	GAS	KVB	38	100	100	97	G4	1618	0	7,89		CENTRUM
	Liander N.V. (NW)	Koningsstraat	1011	1011	ELK	KVB	47	100	100	53	3x25	3776	29,79	27,66	1	CENTRUM
	GAS Liander	Koningsstraat	1011	1011	GAS	KVB	44	100	97,73	98	G4	1308	0	27,27		CENTRUM
	Liander N.V. (NW)	Korte Koningsstraat	1011	1011	ELK	KVB	27	100	100	63	1x25	4459	29,63	22,22	1,2	CENTRUM
	GAS Liander	Korte Koningsstraat	1011	1011	GAS	KVB	25	100	100	96	G4	1333	0	16		CENTRUM
	GAS Liander	Korte Koningsstraat	1011	1011	GAS	KVB	31	100	96,77	97	G4	1012	0	38,71		CENTRUM
Liander N.V.	Liander N.V. (NW)	Korte Koningsstraat	1011	1011	ELK	KVB	13	100	69,23	54	3x25	2094	0	0	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Korte Koningsstraat	1011	1011	ELK	KVB	28	100	92,86	61	1x25	2334	67,86	53,57	1,4	CENTRUM
Liander N.V.	Liander N.V. (NW)	Korte Koningsdwarsstraat	1011	1011	ELK	KVB	21	100	76,19	38	1x25	1760	71,43	71,43	1	CENTRUM
	GAS Liander	Korte Koningsdwarsstraat	1011	1011	GAS	KVB	60	100	98,33	97	G4	1176	0	81,67		CENTRUM
Liander N.V.	Liander N.V. (NW)	Keizersstraat	1011	1011	ELK	KVB	52	96,15	96,15	65	1x35	2491	86,54	80,77	1,3	CENTRUM
	Liander N.V. (NW)	Korte Keizersstraat	1011	1011	ELK	KVB	22	100	100	77	1x35	1428	63,64	63,64	1	CENTRUM
	GAS Liander	Korte Keizersstraat	1011	1011	GAS	KVB	19	100	100	100	G4	1370	0	63,16		CENTRUM
	GAS Liander	Korte Keizersstraat	1011	1011	GAS	KVB	20	100	100	90	G4	1181	0	75		CENTRUM
	Liander N.V. (NW)	Korte Keizersstraat	1011	1011	ELK	KVB	24	100	100	88	1x25	3844	79,17	75	1,2	CENTRUM
	GAS Liander	Korte Keizersdwarsstraat	1011	1011	GAS	KVB	16	100	100	100	G4	1282	0	81,25		CENTRUM
	Liander N.V. (NW)	Korte Keizersdwarsstraat	1011	1011	ELK	KVB	18	100	100	83	1x25	2759	83,33	83,33	1	CENTRUM
	Liander N.V. (NW)	Kleersloot	1011	1011	ELK	KVB	92	100	96,74	78	1x25	1801	68,48	67,39	1	CENTRUM
	GAS Liander	Kleersloot	1011	1011	GAS	KVB	79	100	100	99	G4	818	0	69,62		CENTRUM
	Liander N.V. (NW)	Korte Dijkstraat	1011	1011	ELK	KVB	21	100	95,24	62	1x25	2127	90,48	85,71	1,5	CENTRUM
	GAS Liander	Korte Dijkstraat	1011	1011	GAS	KVB	18	100	100	100	G4	1495	0	88,89		CENTRUM
	GAS Liander	Brandewijnsteeg	1011	1011	GAS	KVB	26	100	100	96	G4	1172	0	65,38		CENTRUM
	Liander N.V. (NW)	Brandewijnsteeg	1011	1011	ELK	KVB	26	100	100	96	1x25	1723	65,38	65,38	1	CENTRUM
	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	13	100	100	85	1x25	989	84,62	61,54	1,8	CENTRUM
	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	37	100	100	100	G4	1072	0	64,86		CENTRUM
	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	33	100	93,94	70	1x25	1715	63,64	60,61	1,1	CENTRUM
Liander N.V.	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	36	100	94,44	89	G4	1553	0	58,33		CENTRUM
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	42	97,62	95,24	40	1x25	4188	66,67	61,9	1	CENTRUM
	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	13	100	100	77	1x25	1886	84,62	92,31	1	CENTRUM
	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	10	100	100	90	G4	761	0	90		CENTRUM
	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	15	100	86,67	87	G4	1355	0	60		CENTRUM
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	20	100	80	45	3x25	2049	55	50	1,2	CENTRUM
Liander N.V.	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	12	100	83,33	33	1x25	6440	66,67	75	1	CENTRUM
	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	10	100	80	60	G4	3069	0	60		CENTRUM
	GAS Liander	Krom Boomssloot	1011	1011	GAS	KVB	13	100	100	92	G4	1234	0	100		CENTRUM
	Liander N.V. (NW)	Krom Boomssloot	1011	1011	ELK	KVB	17	100	100	100	1x25	1158	88,24	94,12	1	CENTRUM
	Liander N.V. (NW)	Snoekjesgracht	1011	1011	ELK	KVB	37	100	97,3	97	1x25	1542	94,59	86,49	2	CENTRUM
	GAS Liander	Snoekjesgracht	1011	1011	GAS	KVB	34	100	100	100	G4	845	0	88,24		CENTRUM
	GAS Liander	Snoekjessteeg	1011	1011	GAS	KVB	206	100	99,03	98	G4	1157	0	16,5		CENTRUM
	Liander N.V. (NW)	Snoekjessteeg	1011	1011	ELK	KVB	229	100	97,38	63	1x25	3288	27,07	18,78	1,1	CENTRUM
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011	1011	ELK	KVB	58	100	77,59	53	1x25	2980	58,62	56,9	1	CENTRUM
	GAS Liander	Nieuwe Hoogstraat	1011	1011	GAS	KVB	48	100	79,17	96	G4	830	0	60,42		CENTRUM
	GAS Liander	Nieuwe Hoogstraat	1011	1011	GAS	KVB	40	100	55	95	G4	1216	0	52,5		CENTRUM
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011	1011	ELK	KVB	47	100	55,32	51	3x25	5972	55,32	48,94	1,5	CENTRUM
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011	1011	ELK	KVB	19	100	100	42	1x25	6603	63,16	57,89	1,1	CENTRUM
	GAS Liander	Nieuwe Hoogstraat	1011	1011	GAS	KVB	18	100	100	94	G4	1514	0	61,11		CENTRUM
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011	1011	ELK	KVB	28	100	100	75	1x25	4829	96,43	96,43	1	CENTRUM
	GAS Liander	Nieuwe Hoogstraat	1011	1011	GAS	KVB	26	100	100	88	G4	1060	0	96,15		CENTRUM
	Liander N.V. (NW)	Onkelboerensteeg	1011	1011	ELK	KVB	20	100	100	85	1x25	2172	85	95	1	CENTRUM
	GAS Liander	Onkelboerensteeg	1011	1011	GAS	KVB	20	100	100	100	G4	1201	0	90		CENTRUM
	GAS Liander	Zandstraat	1011	1011	GAS	KVB	14	100	100	79	G4	1501	0	50		CENTRUM
	Liander N.V. (NW)	Zandstraat	1011	1011	ELK	KVB	16	100	100	50	3x25	2471	50	50	1	CENTRUM
	GAS Liander	Zandstraat	1011	1011	GAS	KVB	10	100	100	90	G4	1779	0	70		CENTRUM
	Liander N.V. (NW)	Zandstraat	1011	1011	ELK	KVB	11	100	90,91	64	1x25	2396	81,82	63,64	1,3	CENTRUM
	Liander N.V. (NW)	Zandstraat	1011	1011	ELK	KVB	21	100	100	67	1x25	1678	80,95	80,95	1	CENTRUM
	GAS Liander	Zandstraat	1011	1011	GAS	KVB	20	100	100	100	G4	1117	0	80		CENTRUM
Liander N.V.	Liander N.V. (NW)	Zanddwarsstraat	1011	1011	ELK	KVB	27	100	96,3	59	1x25	2733	92,59	88,89	1,5	CENTRUM
	GAS Liander	Zanddwarsstraat	1011	1011	GAS	KVB	24	100	100	83	G4	1649	0	95,83		CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	42	100	100	90	G4	1452	0	83,33		CENTRUM
	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	47	100	100	79	1x25	4057	85,11	85,11	1	CENTRUM
Liander N.V.	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	44	100	95,45	41	1x25	2463	75	75	1,1	CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	38	100	100	89	G4	1359	0	81,58		CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	20	100	100	90	G4	1789	0	95		CENTRUM
	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	22	100	100	55	1x25	3358	95,45	95,45	1	CENTRUM
	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	22	100	100	59	1x25	2440	90,91	90,91	1	CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	20	100	100	85	G4	1417	0	90		CENTRUM
	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	29	100	96,55	41	1x25	3659	79,31	72,41	1,2	CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	23	100	100	91	G4	1987	0	78,26		CENTRUM
	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	13	100	92,31	54	1x25	2076	84,62	84,62	1	CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	11	100	100	91	G4	1363	0	90,91		CENTRUM
	Liander N.V. (NW)	Verversstraat	1011	1011	ELK	KVB	42	100	100	69	1x25	3713	95,24	95,24	1	CENTRUM
	GAS Liander	Verversstraat	1011	1011	GAS	KVB	38	100	100	87	G4	1513	0	97,37		CENTRUM
Liander N.V.	Liander N.V. (NW)	Verversstraat	1011	1011	ELK	KVB	24	100	95,83	50	1x25	2024	75	75	1	CENTRUM
Liander N.V.	GAS Liander	Verversstraat	1011	1011	GAS	KVB	18	100	94,44	83	G4	1528	0	88,89		CENTRUM
	GAS Liander	Zwanenburgwal	1011	1011	GAS	KVB	36	100	97,22	89	G4	1155	0	75		CENTRUM
